Timestamp,RSSI,Activity
12038,-38,Jumping
12050,-42,Jumping
12050,-37,Jumping
12058,-38,Jumping
12070,-37,Jumping
12078,-38,Jumping
12090,-37,Jumping
12098,-38,Jumping
12110,-37,Jumping
12118,-38,Jumping
12130,-37,Jumping
12138,-30,Jumping
12150,-37,Jumping
12158,-30,Jumping
12170,-38,Jumping
12170,-37,Jumping
12178,-30,Jumping
12190,-38,Jumping
12190,-37,Jumping
12198,-30,Jumping
12210,-38,Jumping
12210,-37,Jumping
12218,-30,Jumping
12230,-38,Jumping
12230,-37,Jumping
12238,-34,Jumping
12250,-38,Jumping
12250,-37,Jumping
12258,-34,Jumping
12270,-40,Jumping
12270,-37,Jumping
12278,-34,Jumping
12290,-40,Jumping
12290,-37,Jumping
12298,-34,Jumping
12310,-40,Jumping
12310,-37,Jumping
12318,-34,Jumping
12330,-40,Jumping
12330,-37,Jumping
12338,-26,Jumping
12350,-40,Jumping
12350,-37,Jumping
12358,-26,Jumping
12370,-38,Jumping
12370,-37,Jumping
12378,-26,Jumping
12390,-38,Jumping
12390,-37,Jumping
12398,-26,Jumping
12410,-38,Jumping
12410,-37,Jumping
12418,-26,Jumping
12430,-38,Jumping
12430,-37,Jumping
12438,-26,Jumping
12450,-38,Jumping
12450,-37,Jumping
12458,-29,Jumping
12470,-37,Jumping
12470,-39,Jumping
12478,-29,Jumping
12490,-37,Jumping
12490,-39,Jumping
12498,-29,Jumping
12510,-37,Jumping
12510,-39,Jumping
12518,-29,Jumping
12530,-37,Jumping
12530,-39,Jumping
12538,-29,Jumping
12550,-37,Jumping
12550,-39,Jumping
12558,-28,Jumping
12570,-40,Jumping
12570,-35,Jumping
12578,-28,Jumping
12590,-40,Jumping
12590,-35,Jumping
12598,-28,Jumping
12610,-40,Jumping
12610,-35,Jumping
12618,-28,Jumping
12630,-40,Jumping
12630,-35,Jumping
12638,-28,Jumping
12650,-40,Jumping
12650,-35,Jumping
12658,-34,Jumping
12670,-38,Jumping
12670,-41,Jumping
12678,-34,Jumping
12690,-38,Jumping
12690,-41,Jumping
12698,-34,Jumping
12710,-38,Jumping
12710,-41,Jumping
12718,-34,Jumping
12730,-38,Jumping
12730,-41,Jumping
12738,-34,Jumping
12750,-38,Jumping
12750,-41,Jumping
12758,-24,Jumping
12770,-43,Jumping
12770,-36,Jumping
12778,-24,Jumping
12790,-43,Jumping
12790,-36,Jumping
12798,-24,Jumping
12810,-43,Jumping
12810,-36,Jumping
12818,-24,Jumping
12830,-43,Jumping
12830,-36,Jumping
12838,-24,Jumping
12850,-43,Jumping
12850,-36,Jumping
12858,-28,Jumping
12870,-43,Jumping
12870,-37,Jumping
12878,-28,Jumping
12890,-40,Jumping
12890,-37,Jumping
12898,-28,Jumping
12910,-40,Jumping
12910,-37,Jumping
12918,-28,Jumping
12930,-40,Jumping
12930,-37,Jumping
12938,-28,Jumping
12950,-40,Jumping
12950,-37,Jumping
12958,-24,Jumping
12970,-40,Jumping
12970,-35,Jumping
12978,-24,Jumping
12990,-38,Jumping
12990,-35,Jumping
12998,-24,Jumping
13010,-38,Jumping
13010,-35,Jumping
13018,-24,Jumping
13030,-38,Jumping
13030,-35,Jumping
13038,-24,Jumping
13050,-38,Jumping
13050,-35,Jumping
13058,-21,Jumping
13070,-38,Jumping
13070,-35,Jumping
13078,-21,Jumping
13090,-36,Jumping
13090,-35,Jumping
13098,-21,Jumping
13110,-36,Jumping
13110,-35,Jumping
13118,-21,Jumping
13130,-36,Jumping
13130,-35,Jumping
13138,-21,Jumping
13150,-36,Jumping
13150,-35,Jumping
13158,-32,Jumping
13170,-36,Jumping
13170,-35,Jumping
13178,-32,Jumping
13190,-42,Jumping
13190,-37,Jumping
13198,-32,Jumping
13210,-42,Jumping
13210,-37,Jumping
13218,-32,Jumping
13230,-42,Jumping
13230,-37,Jumping
13238,-32,Jumping
13250,-42,Jumping
13250,-37,Jumping
13258,-32,Jumping
13270,-42,Jumping
13270,-37,Jumping
13278,-32,Jumping
13290,-37,Jumping
13290,-43,Jumping
13298,-32,Jumping
13310,-37,Jumping
13310,-43,Jumping
13318,-32,Jumping
13330,-37,Jumping
13330,-43,Jumping
13338,-32,Jumping
13350,-37,Jumping
13350,-43,Jumping
13358,-32,Jumping
13370,-37,Jumping
13370,-43,Jumping
13378,-31,Jumping
13390,-37,Jumping
13390,-36,Jumping
13398,-31,Jumping
13410,-37,Jumping
13410,-36,Jumping
13418,-31,Jumping
13430,-37,Jumping
13430,-36,Jumping
13438,-31,Jumping
13450,-37,Jumping
13450,-36,Jumping
13458,-31,Jumping
13470,-37,Jumping
13470,-36,Jumping
13478,-26,Jumping
13490,-40,Jumping
13490,-36,Jumping
13498,-26,Jumping
13510,-40,Jumping
13510,-36,Jumping
13518,-26,Jumping
13530,-40,Jumping
13530,-36,Jumping
13538,-26,Jumping
13550,-40,Jumping
13550,-36,Jumping
13558,-26,Jumping
13570,-40,Jumping
13570,-36,Jumping
13578,-30,Jumping
13590,-42,Jumping
13598,-30,Jumping
13610,-42,Jumping
13618,-30,Jumping
13630,-42,Jumping
13638,-30,Jumping
13650,-42,Jumping
13658,-30,Jumping
13670,-42,Jumping
13678,-31,Jumping
13690,-42,Jumping
13690,-35,Jumping
13698,-31,Jumping
13710,-37,Jumping
13710,-35,Jumping
13718,-31,Jumping
13730,-37,Jumping
13730,-35,Jumping
13738,-31,Jumping
13750,-37,Jumping
13750,-35,Jumping
13758,-31,Jumping
13770,-37,Jumping
13770,-35,Jumping
13778,-33,Jumping
13790,-37,Jumping
13790,-36,Jumping
13798,-33,Jumping
13810,-39,Jumping
13810,-36,Jumping
13818,-33,Jumping
13830,-39,Jumping
13830,-36,Jumping
13838,-33,Jumping
13850,-39,Jumping
13850,-36,Jumping
13858,-33,Jumping
13870,-39,Jumping
13870,-36,Jumping
13878,-35,Jumping
13890,-39,Jumping
13890,-36,Jumping
13898,-35,Jumping
13910,-40,Jumping
13910,-41,Jumping
13918,-35,Jumping
13930,-40,Jumping
13930,-41,Jumping
13938,-35,Jumping
13950,-40,Jumping
13950,-41,Jumping
13958,-35,Jumping
13970,-40,Jumping
13970,-41,Jumping
13978,-34,Jumping
13990,-40,Jumping
13990,-41,Jumping
13998,-34,Jumping
14010,-39,Jumping
14010,-35,Jumping
14018,-34,Jumping
14030,-39,Jumping
14030,-35,Jumping
14038,-34,Jumping
14050,-39,Jumping
14050,-35,Jumping
14058,-34,Jumping
14070,-39,Jumping
14070,-35,Jumping
14078,-34,Jumping
14090,-39,Jumping
14090,-35,Jumping
14098,-34,Jumping
14110,-43,Jumping
14110,-36,Jumping
14118,-34,Jumping
14130,-43,Jumping
14130,-36,Jumping
14138,-34,Jumping
14150,-43,Jumping
14150,-36,Jumping
14158,-34,Jumping
14170,-43,Jumping
14170,-36,Jumping
14178,-34,Jumping
14190,-43,Jumping
14190,-36,Jumping
14198,-34,Jumping
14210,-38,Jumping
14218,-34,Jumping
14230,-38,Jumping
14238,-34,Jumping
14250,-38,Jumping
14258,-34,Jumping
14270,-38,Jumping
14278,-34,Jumping
14290,-38,Jumping
14298,-33,Jumping
14310,-36,Jumping
14310,-42,Jumping
14318,-33,Jumping
14330,-36,Jumping
14330,-42,Jumping
14338,-33,Jumping
14350,-36,Jumping
14350,-42,Jumping
14358,-33,Jumping
14370,-36,Jumping
14370,-42,Jumping
14378,-33,Jumping
14390,-36,Jumping
14390,-42,Jumping
14398,-36,Jumping
14410,-40,Jumping
14410,-36,Jumping
14418,-36,Jumping
14430,-40,Jumping
14430,-36,Jumping
14438,-36,Jumping
14450,-40,Jumping
14450,-36,Jumping
14458,-36,Jumping
14470,-40,Jumping
14470,-36,Jumping
14478,-36,Jumping
14490,-40,Jumping
14490,-36,Jumping
14498,-31,Jumping
14510,-37,Jumping
14518,-31,Jumping
14530,-37,Jumping
14538,-31,Jumping
14550,-37,Jumping
14558,-31,Jumping
14570,-37,Jumping
14578,-31,Jumping
14590,-37,Jumping
14598,-32,Jumping
14610,-37,Jumping
14610,-36,Jumping
14618,-32,Jumping
14630,-37,Jumping
14630,-36,Jumping
14638,-32,Jumping
14650,-37,Jumping
14650,-36,Jumping
14658,-32,Jumping
14670,-37,Jumping
14670,-36,Jumping
14678,-32,Jumping
14690,-37,Jumping
14690,-36,Jumping
14698,-32,Jumping
14710,-37,Jumping
14710,-36,Jumping
14718,-32,Jumping
14730,-39,Jumping
14730,-37,Jumping
14738,-32,Jumping
14750,-39,Jumping
14750,-37,Jumping
14758,-32,Jumping
14770,-39,Jumping
14770,-37,Jumping
14778,-32,Jumping
14790,-39,Jumping
14790,-37,Jumping
14798,-34,Jumping
14810,-39,Jumping
14810,-37,Jumping
14818,-34,Jumping
14830,-37,Jumping
14838,-34,Jumping
14850,-37,Jumping
14858,-34,Jumping
14870,-37,Jumping
14878,-34,Jumping
14890,-37,Jumping
14898,-35,Jumping
14910,-37,Jumping
14918,-35,Jumping
14930,-37,Jumping
14930,-40,Jumping
14938,-35,Jumping
14950,-37,Jumping
14950,-40,Jumping
14958,-35,Jumping
14970,-37,Jumping
14970,-40,Jumping
14978,-35,Jumping
14990,-37,Jumping
14990,-40,Jumping
14998,-35,Jumping
15010,-37,Jumping
15010,-40,Jumping
15018,-31,Jumping
15030,-37,Jumping
15030,-35,Jumping
15038,-31,Jumping
15050,-37,Jumping
15050,-35,Jumping
15058,-31,Jumping
15070,-37,Jumping
15070,-35,Jumping
15078,-31,Jumping
15090,-37,Jumping
15090,-35,Jumping
15098,-31,Jumping
15110,-37,Jumping
15110,-35,Jumping
15118,-31,Jumping
15130,-38,Jumping
15130,-35,Jumping
15138,-31,Jumping
15150,-38,Jumping
15150,-35,Jumping
15158,-31,Jumping
15170,-38,Jumping
15170,-35,Jumping
15178,-31,Jumping
15190,-38,Jumping
15190,-35,Jumping
15198,-31,Jumping
15210,-38,Jumping
15210,-35,Jumping
15218,-37,Jumping
15230,-37,Jumping
15230,-36,Jumping
15238,-37,Jumping
15250,-37,Jumping
15250,-36,Jumping
15258,-37,Jumping
15270,-37,Jumping
15270,-36,Jumping
15278,-37,Jumping
15290,-37,Jumping
15290,-36,Jumping
15298,-37,Jumping
15310,-37,Jumping
15310,-36,Jumping
15318,-30,Jumping
15330,-37,Jumping
15330,-42,Jumping
15338,-30,Jumping
15350,-37,Jumping
15350,-42,Jumping
15358,-30,Jumping
15370,-37,Jumping
15370,-42,Jumping
15378,-30,Jumping
15390,-37,Jumping
15390,-42,Jumping
15398,-30,Jumping
15410,-37,Jumping
15410,-42,Jumping
15418,-25,Jumping
15430,-37,Jumping
15430,-38,Jumping
15438,-25,Jumping
15450,-40,Jumping
15450,-38,Jumping
15458,-25,Jumping
15470,-40,Jumping
15470,-38,Jumping
15478,-25,Jumping
15490,-40,Jumping
15490,-38,Jumping
15498,-25,Jumping
15510,-40,Jumping
15510,-38,Jumping
15518,-22,Jumping
15530,-40,Jumping
15530,-42,Jumping
15538,-22,Jumping
15550,-38,Jumping
15550,-42,Jumping
15558,-22,Jumping
15570,-38,Jumping
15570,-42,Jumping
15578,-22,Jumping
15590,-38,Jumping
15590,-42,Jumping
15598,-22,Jumping
15610,-38,Jumping
15610,-42,Jumping
15618,-30,Jumping
15630,-38,Jumping
15630,-42,Jumping
15638,-30,Jumping
15650,-37,Jumping
15650,-38,Jumping
15658,-30,Jumping
15670,-37,Jumping
15670,-38,Jumping
15678,-30,Jumping
15690,-37,Jumping
15690,-38,Jumping
15698,-30,Jumping
15710,-37,Jumping
15710,-38,Jumping
15718,-30,Jumping
15730,-37,Jumping
15730,-38,Jumping
15738,-30,Jumping
15750,-36,Jumping
15758,-30,Jumping
15770,-36,Jumping
15778,-30,Jumping
15790,-36,Jumping
15798,-30,Jumping
15810,-36,Jumping
15818,-31,Jumping
15830,-36,Jumping
15838,-31,Jumping
15850,-38,Jumping
15850,-35,Jumping
15858,-31,Jumping
15870,-38,Jumping
15870,-35,Jumping
15878,-31,Jumping
15890,-38,Jumping
15890,-35,Jumping
15898,-31,Jumping
15910,-38,Jumping
15910,-35,Jumping
15918,-31,Jumping
15930,-38,Jumping
15930,-35,Jumping
15938,-35,Jumping
15950,-39,Jumping
15950,-37,Jumping
15958,-35,Jumping
15970,-39,Jumping
15970,-37,Jumping
15978,-35,Jumping
15990,-39,Jumping
15990,-37,Jumping
15998,-35,Jumping
16010,-39,Jumping
16010,-37,Jumping
16018,-35,Jumping
16030,-39,Jumping
16030,-37,Jumping
16038,-32,Jumping
16050,-38,Jumping
16050,-37,Jumping
16058,-32,Jumping
16070,-38,Jumping
16070,-37,Jumping
16078,-32,Jumping
16090,-38,Jumping
16090,-37,Jumping
16098,-32,Jumping
16110,-38,Jumping
16110,-37,Jumping
16118,-32,Jumping
16130,-38,Jumping
16130,-37,Jumping
16138,-28,Jumping
16150,-37,Jumping
16150,-38,Jumping
16158,-28,Jumping
16170,-37,Jumping
16170,-38,Jumping
16178,-28,Jumping
16190,-37,Jumping
16190,-38,Jumping
16198,-28,Jumping
16210,-37,Jumping
16210,-38,Jumping
16218,-28,Jumping
